"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongNameComparatorRemoveBrackets record1Value","[0] SongNameComparatorRemoveBrackets record2Value","[0] SongNameComparatorRemoveBrackets record1PreprocessedValue","[0] SongNameComparatorRemoveBrackets record2PreprocessedValue","[0] SongNameComparatorRemoveBrackets similarity","[0] SongNameComparatorRemoveBrackets postproccesedSimilarity","[1] SongNameComparatorLevenshtein record1Value","[1] SongNameComparatorLevenshtein record2Value","[1] SongNameComparatorLevenshtein record1PreprocessedValue","[1] SongNameComparatorLevenshtein record2PreprocessedValue","[1] SongNameComparatorLevenshtein similarity","[1] SongNameComparatorLevenshtein postproccesedSimilarity","[2] SongArtistsComparatorToken record1Value","[2] SongArtistsComparatorToken record2Value","[2] SongArtistsComparatorToken record1PreprocessedValue","[2] SongArtistsComparatorToken record2PreprocessedValue","[2] SongArtistsComparatorToken similarity","[2] SongArtistsComparatorToken postproccesedSimilarity","[3] SongArtistsComparatorLevenshtein record1Value","[3] SongArtistsComparatorLevenshtein record2Value","[3] SongArtistsComparatorLevenshtein record1PreprocessedValue","[3] SongArtistsComparatorLevenshtein record2PreprocessedValue","[3] SongArtistsComparatorLevenshtein similarity","[3] SongArtistsComparatorLevenshtein postproccesedSimilarity","[4] SongAlbumComparatorMaxSim record1Value","[4] SongAlbumComparatorMaxSim record2Value","[4] SongAlbumComparatorMaxSim record1PreprocessedValue","[4] SongAlbumComparatorMaxSim record2PreprocessedValue","[4] SongAlbumComparatorMaxSim similarity","[4] SongAlbumComparatorMaxSim postproccesedSimilarity","[5] SongAlbumComparatorToken record1Value","[5] SongAlbumComparatorToken record2Value","[5] SongAlbumComparatorToken record1PreprocessedValue","[5] SongAlbumComparatorToken record2PreprocessedValue","[5] SongAlbumComparatorToken similarity","[5] SongAlbumComparatorToken postproccesedSimilarity"
"WekaMatchingRule","dbpedia_3359","musicbrainz_21544","0.0024379787913273256",,"Burning House","Bungalow ","Burning House","Bungalow ","0.3846153846153846","0.3846153846153846","Burning House","Bungalow (5.1 mix)","Burning House","Bungalow (5.1 mix)","0.16666666666666663","0.16666666666666663","cam","xtc","cam","xtc","0.0","0.0","Cam","XTC","Cam","XTC","0.0","0.0","untamed","nonsuch","untamed","nonsuch","0.0","0.0","untamed","nonsuch","untamed","nonsuch","0.0","0.0"
"WekaMatchingRule","dbpedia_4868","musicbrainz_6132","0.010252232778413545","0","Cryin' Like a Bitch","Cry Like a Ghost","Cryin' Like a Bitch","Cry Like a Ghost","0.5789473684210527","0.5789473684210527","Cryin' Like a Bitch","Cry Like a Ghost","Cryin' Like a Bitch","Cry Like a Ghost","0.5789473684210527","0.5789473684210527","godsmack","passion pit","godsmack","passion pit","0.0","0.0","Godsmack","Passion Pit","Godsmack","Passion Pit","0.09090909090909094","0.09090909090909094","the oracle","gossamer","the oracle","gossamer","0.0","0.0","the oracle","gossamer","the oracle","gossamer","0.0","0.0"
"WekaMatchingRule","dbpedia_4572","musicbrainz_12240","0.01196773992674415","0","In God's Time","In Another Time","In God's Time","In Another Time","0.6","0.6","In God's Time","In Another Time","In God's Time","In Another Time","0.6","0.6","randy houser","even","randy houser","even","0.0","0.0","Randy Houser","Even","Randy Houser","Even","0.08333333333333337","0.08333333333333337",,,,,,,"","in another time","","in another time","0.0","0.0"
"WekaMatchingRule","dbpedia_9587","musicbrainz_25321","0.0011705214527068823",,"Rocket to Uranus","Roots of the Mountain","Rocket to Uranus","Roots of the Mountain","0.2857142857142857","0.2857142857142857","Rocket to Uranus","Roots of the Mountain","Rocket to Uranus","Roots of the Mountain","0.2857142857142857","0.2857142857142857","vengaboys","enslaved","vengaboys","enslaved","0.0","0.0","Vengaboys","Enslaved","Vengaboys","Enslaved","0.2222222222222222","0.2222222222222222",,,,,,,"","riitiir","","riitiir","0.0","0.0"
"WekaMatchingRule","dbpedia_2830","musicbrainz_29933","0.0031937542877436224",,"My Dark Place Alone","My Heart Explodes","My Dark Place Alone","My Heart Explodes","0.42105263157894735","0.42105263157894735","My Dark Place Alone","My Heart Explodes","My Dark Place Alone","My Heart Explodes","0.42105263157894735","0.42105263157894735","murderdolls","bowling for soup","murderdolls","bowling for soup","0.0","0.0","Murderdolls","Bowling for Soup","Murderdolls","Bowling for Soup","0.125","0.125","women and children last","bowling for soup presents: one big happy!","women and children last","bowling for soup presents: one big happy!","0.0","0.0","women and children last","bowling for soup presents: one big happy!","women and children last","bowling for soup presents: one big happy!","0.0","0.0"
"WekaMatchingRule","dbpedia_3202","musicbrainz_9707","0.892129522743605","1","Here with Me ","Here With Me","Here with Me ","Here With Me","0.9230769230769231","0.9230769230769231","Here with Me (The Killers song)","Here With Me","Here with Me (The Killers song)","Here With Me","0.3870967741935484","0.3870967741935484","the killers","the killers","the killers","the killers","1.0","1.0","The Killers","The Killers","The Killers","The Killers","1.0","1.0","battle born","battle born","battle born","battle born","1.0","1.0","battle born","battle born","battle born","battle born","1.0","1.0"
"WekaMatchingRule","dbpedia_1898","musicbrainz_28907","5.548692259781944E-4",,"Gold Slugs","God Rest Ye Merry Gentlemen","Gold Slugs","God Rest Ye Merry Gentlemen","0.18518518518518523","0.18518518518518523","Gold Slugs","God Rest Ye Merry Gentlemen","Gold Slugs","God Rest Ye Merry Gentlemen","0.18518518518518523","0.18518518518518523","dj khaled","bad religion","dj khaled","bad religion","0.0","0.0","DJ Khaled","Bad Religion","DJ Khaled","Bad Religion","0.08333333333333337","0.08333333333333337","i changed a lot","christmas songs","i changed a lot","christmas songs","0.0","0.0","i changed a lot","christmas songs","i changed a lot","christmas songs","0.0","0.0"
"WekaMatchingRule","dbpedia_6176","musicbrainz_18034","0.004092675580218444",,"The Island ","The Puzzle ","The Island ","The Puzzle ","0.4545454545454546","0.4545454545454546","The Island (Pendulum song)","The Puzzle (Big Chocolate remix)","The Island (Pendulum song)","The Puzzle (Big Chocolate remix)","0.28125","0.28125","pendulum","in flames","pendulum","in flames","0.0","0.0","Pendulum","In Flames","Pendulum","In Flames","0.2222222222222222","0.2222222222222222","immersion","sounds of a playground fading","immersion","sounds of a playground fading","0.0","0.0","immersion","sounds of a playground fading","immersion","sounds of a playground fading","0.0","0.0"
"WekaMatchingRule","dbpedia_6054","musicbrainz_21847","0.0012458574621582326",,"Lonely Christmas ","Love Killer","Lonely Christmas ","Love Killer","0.2941176470588235","0.2941176470588235","Lonely Christmas (Crayon Pop song)","Love Killer","Lonely Christmas (Crayon Pop song)","Love Killer","0.17647058823529416","0.17647058823529416","crayon pop","this century","crayon pop","this century","0.0","0.0","Crayon Pop","This Century","Crayon Pop","This Century","0.08333333333333337","0.08333333333333337",,,,,,,"","biography of heartbreak","","biography of heartbreak","0.0","0.0"
"WekaMatchingRule","dbpedia_533","musicbrainz_11760","0.001103553823662557",,"The Fox ","Thela Hun Ginjeet ","The Fox ","Thela Hun Ginjeet ","0.2777777777777778","0.2777777777777778","The Fox (What Does the Fox Say?)","Thela Hun Ginjeet (rough mix)","The Fox (What Does the Fox Say?)","Thela Hun Ginjeet (rough mix)","0.21875","0.21875","ylvis","king crimson","ylvis","king crimson","0.0","0.0","Ylvis","King Crimson","Ylvis","King Crimson","0.16666666666666663","0.16666666666666663",,,,,,,"","discipline","","discipline","0.0","0.0"
